author,comment
@HenhenDrodro,Yg belain org stres pasti g jauh klo g ODGJ  y pskopat
@merahkhatulistiwa9603,"ijazah jokowi itu asli ...penelaah ilmiah itu hanya menebak dan mengira2 dan kemudian di buat fitnah,roy suryo adl mentri yg di pecat oleh jokowi sepintas saja tahu kemana larinya mereka"
@RinaManroe,Senyum2 Bae
@DWPSCHANEL,Tangkap lah males dengernya …ribet
@dediharyanto9746,"Ga peduli sama ROY dan JOKOWI, dari sini udah ketauan HUKUM INDONESIA seperti apa. Dan yang rakyat mau bukan siapa yg salah dan benar, MELAINKAN KEBENARAN."
@elis.achry80gwenversion61,Roy cs baru akan percaya dan mengerti kalau sudah didatangi malaikat izroil  bang silvester 😂😂😂
@DhenoMarsell,Roy Suryo emang murah senyum atau agak sedikit gila perasaan cengar cengir trs kayak ODGJ.
@EnriqueGillespieSienaCoope-q4f,"Terlambat sedikit tidak masalah,gas braderr ★𝐏𝐑0𝐁𝐄𐊗⭐𝟴𝟱𝟱★.🔥🔥"
@PhoenixDaviesAriellaLara-b4s,🚩𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓 🚩💥 naik terus kayak tren konten aesthetic
@AlainaWilliamsCierraFitzge-n5j,Mantap suhu di 𝗣𝗥𝗢𝗕ε𝗧𝟴𝟱𝟱 🥳🥳
@AmericaSalinasRubyHouston-z2b,"Ubur Ubur Ikan lele , gw jp di 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓  lee...🤣🤣🤣"
@GloriaTylerTyNolan-t8w,02:42 kok bsa gtu wkwkwkw . 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓.
@DiegoPhamFrancoBartlett-u1h,"06:00 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓, jackpot tak terbatas!"
@DangeloPatelGenesisFisher-w8n,"Cuan nungguin di depan mata! Spin sekarang 【﻿𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓】,"
@DeeganHarperKeatonCase-f7h,Lagi bagi-bagi jackpot nih! Buruan gas 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓 ! 🚀
@PaulChambersJohnMeyer-q6o,𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓 selalu punya fitur keren
@KelsieMoyerJulissaStanley-v9p,"Nggak ribet, tinggal spin, tunggu jackpot di 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓!"
@JerryBallMylieHarris-i8b,Sukses selalu ⚡ 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓  ⚡ bang😊❤
@DeeganWongVincentHolloway-g2c,Sukaaa bangettt sama ⭐𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓 ⭐
@ShaniaTranLaneyWaller-r5v,"Hadir Jombang Bg andre,Semangat Terus Dan Sehat Selalu Dan Lancar Rezekinya 💫𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓 💫 🙏🙏🔥🔥 0:59"
@CristoferHarrellDillonCard-c4h,𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓 makin nyepin makin bucin ... yok gasken 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓
@PaolaPattersonTurnerMoran-b3v,"Spin sekarang, panen besar 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓"
@ElyseVaughnRayanMoore-p2c,Tempat Nya Para Sultan Bermain Hanya Di ⚡ 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓  ⚡
@AlicePottsJulieParker-g3i,"06:00 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓, jackpot tak terbatas!"
@RhettGilbertJaseVance-s1b,09:10 muncul ̠✌ 𝐏𝐑0𝐁𝐄𐊗⭐𝟴𝟱𝟱 ✌】
@NurfauziahFauziah-b4s,Parah si Roy cungar cengir aja si Roy ini bikin gaduh padahal kan pa Jokowi gak bakalan ngelamar kerja ke pabrik.
@handysulistyo8024,Salam akal sehat waras selawase...yang  akal sehat selamat dunia ahkirat
@rezakacer7246,Pakarpalsu
@Yansyahhardi-fu9wh,Adili jokowi..
@shinichiFlash,Yg jelas. Roy suryo cs..masuk bui..😂
@sambeltomat88,Kasus ini kyk sengaja dibiarkan berlarut larut. Iya gk sih biar menutupi kasus 2 besar
@BagusSuswanto-p7v,"Roy suryo dkk nya ,, PROSES HUKUM saja ,,bikin GADUH Negara ,,,"
@OkeTokbro,Silvister buser
@RosNi-j4y,Buset
