author,comment
@ERICKOLIMREAL,SIXNINE JAYA JAYA JAYA 🔥🔥
@MalikLikz-n3d,Bng bahas Jack ambatukam bng jec gawne
@mukcurrrr,mic boren😂
@zethtoding1990,Sixnine jaya jaya jaya hore yes yes
@Somthnk,Ahhh intro sepuh muncul kembali
@l-__-,Ga nyangka mungkung udah jadi terkenal😢😢😢 sumpah gua nangis banget😂😂😂😂
@wahidashariii5889,mukcur
@Hilmanmaulana1705,Otw jadi boren
@fntasticgm,Todak cok
@agungyt1ub,sop spongken itu😭
@BenedictConstantine,kamu kenal jack tidak
@NarutoSiudin-h5s,Geloo ⭐GEULIS88⭐ Cair terus x100
@agusmiranda5148,Mungkung itu walaupun gitu mental nya kuat banget cook gk semua YouTuber sekuat dia mentalnya
@Mysonlod,BANG TOYOTA 86 MERAH LU DULU MANA
@Muhersyanjaya,Biyar apa sih nge cit
@baguzyt,halo bangg
@aiz2youu,gacor
@garokasemoking,mungkung
@sadtraxxh,gua di adik tirikan :”)
@hasmanidarhasmanidar-tf1jg,Banyakin konten bucin sama istri dong. Seneng banget liatnya
@MuhammadFarrelPangestu-s4z,Mantap bg
@tristanbit3877,"aku baru ma terjun ke RP gta . tapi ngga ngeerti downloadnya gimana + cara masuk servernya gimana  ... kalau ada suhu yang mau bagi tau caranya sampai join ke server bang erick ,, boleh dong "
@52_ikadekaryaadityawijaya95,"rick, req konten mancing😅"
@randualas2364,BATUUU TUU
@rom4nt1sm3,BATUTU🤬🤬
@tuankreb4770,p
@SirKeju,tinggal buat podcast asik sih kontennya bang rick nih disegmen gta rp
@HWLcraft,mantapp intro lama😂
@palelulelo,"udah lama ga muncul di beranda , si gacha mata ws wkwkwk"
@ic.rayynvm,eriCkOLIm
@Raphfzz,p
@dwilestari1520,Saran sih bang ericko ajak obyypy lagi rp
@radenrahmatallwhyguna3424,"Salpok sama topi lu bang, chrome Hearts anjay🔥"
@muhammadalghiffari4082,Ga nyangka 1 video full ngomong
@fajarjotum23,Kadang kalo ngeliat mungkung gw jadi keinget lu yg dlu rick
@ratrajr,Bocil mungkung rame bang ada 3k yg ngekor tiap hari
@ratrajr,Dagu si mungkung miring bang
@BerlianbekuHD,gacor mungkung
@ThatsMeVaaa,8:45 nih
@ThatsMeVaaa,adek hobi ngck
@Airdrop-led,Batutu
@kaweydlsra,"anjay motipasi, teddy teddy teddy"
@topangusdur,mantapppppppppppppppppp
